Gemeente,Zorgverzekeringswet (Zvw) - Kosten totaal [euro] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Kosten totaal [euro] [2014],Wet langdurige zorg (WLZ) - Kosten totaal [euro] [2015],Zvw - Huisartsenzorg - Kosten totaal [euro] [2014],Zvw - Farmaceutische zorg - Kosten totaal [euro] [2014],Zvw - Wijkverpleging - Kosten totaal [euro] [2015],Zvw - medisch-specialistische zorg - Kosten totaal [euro] [2014],Zvw - Geestelijke gezondheidszorg - Kosten totaal [euro] [2014],Zvw - Overig - Kosten totaal [euro] [2014],AWBZ - Zorg thuis - Kosten totaal [euro] [2014],AWBZ - Zorg in een instelling - Kosten totaal [euro] [2014],WLZ - Zorg in een instelling - Kosten totaal [euro] [2015],WLZ - Zorg zonder verblijf - Kosten totaal [euro] [2015],Zorgverzekeringswet (Zvw) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Wet langdurige zorg (WLZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2015],Zvw - Huisartsenzorg - Zorggebruikers [aantal] [2014],Zvw - Farmaceutische zorg - Zorggebruikers [aantal] [2014],Zvw - Wijkverpleging - Zorggebruikers [aantal] [2015],Zvw - MSZ - Zorggebruikers [aantal] [2014],Zvw - GGZ - Zorggebruikers [aantal] [2014],Zvw - Overig - Zorggebruikers [aantal] [2014],AWBZ - Zorg thuis - Zorggebruikers [aantal] [2014],AWBZ - Zorg in een instelling - Zorggebruikers [aantal] [2014],WLZ - Zorg thuis - Zorggebruikers [aantal] [2015],WLZ - Zorg in een instelling - Zorggebruikers [aantal] [2015]
Harlingen,36113714,30714950,23152576,2284422,4139589,4723723,20779730,3581594,5328379,13185774,17529176,5845982,17306594,13821,1212,455,12028,10287,641,8690,842,5515,945,376,172,325
Hattem,26945079,15447662,8745961,1734611,3143490,2627241,16336394,1767199,3963385,6308991,9138671,2159900,6586061,10520,729,220,8992,7662,421,6321,598,4439,575,208,86,148
Heemskerk,86643459,64312529,56156848,5921403,10035597,4787718,51831350,6918619,11936488,18679523,45633006,11879608,44277240,35117,2233,1011,30935,26587,1056,22910,2312,13693,1599,825,353,744
Heemstede,65591691,61549729,59297016,4057912,7348037,5109693,40125229,4799413,9261101,12507792,49041936,5769396,53527620,24082,1935,1008,20959,18198,1049,15935,1472,9732,1286,759,298,783
Heerde,41668251,34380948,28408246,3027974,4926685,4341394,24390442,2741153,6581996,13697849,20683099,6499745,21908502,16559,1264,577,14398,12670,686,10391,841,7012,939,423,211,429
Heerenveen,121112665,87851276,58736121,7399740,12818231,17064080,72550844,11464625,16879226,40678294,47172982,14525548,44210573,44561,3838,1193,38511,33457,1980,28049,2575,18631,3070,1037,380,906
Heerhugowaard,111047245,93570383,77418671,7071672,12056463,7291088,63621616,12772786,15524710,22641600,70928783,8867479,68551192,47209,2870,1216,41700,34547,1199,29646,3493,19587,2011,1151,352,996
Heerlen,257950261,169401534,103904734,14203904,30837133,21677905,139133559,28963171,44812494,70696021,98705513,21631316,82273418,79002,7803,2214,71759,64982,3972,54435,6212,32374,6096,2239,847,1539
Heeze-Leende,36011981,39723281,37230790,2214131,4163931,2961110,22820132,2041056,4772731,7184461,32538820,2946996,34283794,13997,958,490,12220,10741,451,9332,579,5739,651,457,124,406
Heiloo,52479159,32775889,24590375,3065529,5043491,4384918,31200047,6262101,6907991,10110324,22665565,5464737,19125638,20298,1388,506,17699,14790,809,13232,1355,8147,1028,431,207,341
Den Helder,141213923,122393067,100179743,8304696,15931587,10743929,86563782,12830294,17583564,29863504,92529563,12710421,87469322,48782,3898,1680,43104,37819,1784,32781,3075,19233,2672,1577,456,1378
Hellendoorn,79382481,60097723,45922520,5661827,9221892,7461758,46440748,6142054,11915960,21565379,38532344,9226849,36695671,32156,2290,892,28304,24760,1209,20284,1399,13770,1734,739,291,665
Hellevoetsluis,91302710,47102523,35292382,5673283,10727023,4840044,53967406,7995851,12939147,15401121,31701403,7805123,27487259,35095,1873,655,31279,27799,1005,23487,2236,14013,1342,703,218,484
Helmond,207750911,104410866,57933447,13200374,23656019,17330967,122947225,18520981,29426312,59688887,44721979,19696165,38237282,80504,5350,1346,71244,61911,2936,52731,5561,34165,4547,1238,710,772
Hendrik-Ido-Ambacht,63408756,26531764,15803927,3989357,7154137,4297057,37716545,5444317,9104401,9883397,16648368,3944786,11859141,26442,1194,360,23281,20694,727,17055,1539,11240,909,352,152,253
Hengelo,182818859,130215790,79561703,12672351,20271432,16261551,104361075,19438598,26075403,58051539,72164251,20060942,59500761,72082,5791,1684,55132,55333,3052,47522,4373,29974,4643,1558,672,1175
's-Hertogenbosch,332732793,209394190,154129362,21062303,38672980,19164955,188445462,37302327,47249721,68909371,140484819,28152793,125976569,135538,8235,3119,120701,104714,3844,87337,9453,53624,6002,2735,1105,2220
Heumen,36829419,23637882,19244100,2432007,4041019,3133301,21678821,3079449,5598122,7567490,16070392,3163951,16080148,14788,955,387,12806,10957,560,9271,777,6178,716,310,141,291
Heusden,95597543,45991965,33299796,5782319,10831611,5100803,56589543,8364582,14029488,22135105,23856860,11252272,22047524,38866,2148,688,34448,30233,1149,25965,2113,15851,1762,506,318,428
Hillegom,49056704,36801573,29680285,3183077,5673144,3855209,29080338,4030550,7089594,8225588,28575985,2631272,27049013,18982,1199,546,16883,15023,577,12474,1284,7515,762,523,124,472
Hilvarenbeek,31504137,19369634,16512614,1928586,3877122,1241438,19182024,1914455,4601949,7517038,11852597,4326102,12186512,13616,719,317,11846,10287,325,8897,610,5636,530,238,117,231
Hilversum,199782054,130835369,100636214,12995785,22129637,14405748,115307624,21527696,27821313,48660970,82174399,24905761,75730454,77033,4865,2156,68151,58472,2329,50716,5439,29934,3478,1704,800,1520
Hof van Twente,79502124,52637288,35720232,5450623,9588992,9769038,48385059,4683961,11393490,22416342,30220946,7763580,27956652,31371,2407,722,26373,24498,1585,20692,1293,13267,1935,669,219,549
Hollands Kroon,94774966,41771791,31573615,6283277,10792604,7035789,57714138,6490061,13494886,22544409,19227382,13520108,18053507,41361,2021,658,35750,30683,1295,24709,2102,16440,1669,480,318,411
Hoogeveen,140187145,109716930,74803681,9686886,16275021,14837064,81774764,13496681,18953792,50654265,59062665,22393168,52410513,49897,4216,1468,44511,38624,2067,33271,3556,21211,3367,1214,580,1008
Hoogezand-Sappemeer,85565517,91533032,67054174,5719535,10635143,11561862,48573649,8816260,11820930,33043010,58490023,10963619,56090555,30809,3223,1136,27110,24115,1429,20395,2356,13156,2500,1038,285,914
Hoorn,148901137,85733770,59689411,10228675,16125977,12952726,86117802,16182105,20246578,34486421,51247349,13598390,46091021,63904,3783,1301,56211,46940,1945,39242,4753,25031,2954,1151,515,944
Horst aan de Maas,94031413,57604533,44186978,5919251,11602371,7517587,54370348,7075493,15063950,20482534,37121999,8260090,35926888,37342,2087,935,33134,28523,1142,24427,1854,16044,1552,670,426,622
Houten,90922341,50345786,35546993,7231387,10227951,6148984,49849920,10185599,13427485,21663372,28682414,8806766,26740226,43350,2042,854,37927,30908,983,25714,3054,17800,1559,601,407,521
Huizen,94328602,63572858,50898004,6907280,10305218,6405887,55492938,8698508,12924658,21525402,42047456,11230090,39667914,37431,2199,1043,33490,28703,1081,24446,2384,14556,1531,817,380,772
Hulst,60866687,63325878,49495430,3753925,7480875,5454197,31590710,3624038,14417138,15884690,47441188,4277153,45218277,22555,2180,875,19541,17485,1109,15458,997,10052,1577,808,284,659
IJsselstein,69328302,36839976,28183629,5400386,8354787,3938872,40261687,6280291,9031151,14240233,22599744,6637491,21546138,30828,1607,638,27256,23652,845,19441,2180,12412,1221,481,275,431
Kaag en Braassem,52193040,20223512,15428872,4008003,5987084,3495584,31900897,3768031,6529024,8497778,11725735,4190264,11238608,23188,1027,346,20315,17673,634,14611,1297,9215,824,285,143,258
Kampen,105597632,79490915,52902133,7723837,12265040,11322982,60894443,8272643,16441668,35566350,43924565,15813801,37088332,45341,3236,1146,38701,32875,1519,27112,2576,19789,2510,947,493,754
Kapelle,24278927,13887166,8176013,1564541,2794895,2252845,13399551,1994597,4525343,7113332,6773834,2850301,5325712,11081,658,182,9534,8341,389,6444,554,4751,550,172,109,114
Katwijk,132409848,94805188,77638062,10054367,15908449,12727954,76200158,11226008,19020866,28590393,66214794,11434822,66203240,56193,3305,1358,48904,43508,1632,35097,3280,23566,2366,1182,402,1083
Kerkrade,130841858,97744931,73252616,7194765,15437370,10612237,71450600,11614148,25144975,35015931,62729000,12011878,61240738,40331,4026,1488,36839,33736,2026,27842,2888,16989,2964,1375,483,1157
Koggenland,41586966,24416878,19971279,2756715,4243377,3160525,25503347,3027305,6056222,10873034,13543844,6116782,13854497,19479,1043,411,16710,13578,568,11580,1018,7930,823,300,176,279
Kollumerland en Nieuwkruisland,27048388,23051540,18273732,1962288,3374107,2254596,15992697,1720220,3999075,7323010,15728530,2460739,15812994,11299,825,313,9769,8638,388,6786,572,4644,628,267,95,246
Korendijk,20930187,11613548,9059257,1600809,2838574,1598348,11655914,1432514,3402376,4964430,6649118,3894128,5165129,9724,517,179,8640,7574,282,5870,443,3968,407,150,87,108
Krimpen aan den IJssel,66097885,34385992,27770838,4403045,7545893,3644506,38977747,5144778,10026423,11836681,22549311,6215402,21555436,26135,1555,636,23034,20382,839,17407,1478,10807,1174,511,245,477
Krimpenerwaard,113424093,66768163,51378511,7571886,12960935,8656564,69153308,7342233,16395730,26747928,40020235,14808264,36570247,47974,3198,1006,41937,36682,2060,29981,2503,19254,2580,805,405,711
Laarbeek,50640809,31209249,24373067,3451578,5884392,3798283,31077068,3224633,7003138,14909863,16299386,8519547,15853519,19907,1311,487,17559,15779,702,13489,931,8324,1015,407,208,325
Landerd,33472119,27940723,21955496,2148156,4135073,3556115,20246045,2010005,4932840,11695986,16244738,5898699,16056796,13648,908,366,12003,10360,490,8727,801,5951,662,290,126,267
Landgraaf,101679881,76314459,59199243,5554925,12092708,7053551,58237514,8501805,17292930,23173948,53140511,9118025,50081218,33634,2874,1012,30197,27901,1415,23011,2306,13983,2060,987,286,805
Landsmeer,23214784,8716623,6405484,1665166,2626460,1122477,14432997,1510776,2979384,3740401,4976221,2051855,4353628,9886,433,177,8746,7618,245,6523,578,3719,336,132,82,119
Langedijk,53833277,27175212,21342952,3484199,5334172,2957152,32973004,4400039,7641863,12852887,14322325,6556577,14786375,23902,1201,438,20587,17330,613,14681,1382,9578,975,340,193,290
Lansingerland,103829898,50978791,44513488,7861009,11643385,4246250,60781852,8646115,14897536,14141616,36837175,7251397,37262090,51904,1666,797,45309,38147,800,32326,2885,21367,1140,650,235,638
Laren,27427207,34874011,31756914,1836085,3010724,1992647,16808439,1589071,4182888,7571374,27302637,4678235,27078679,9993,1012,648,8787,7655,412,6963,568,3976,555,562,173,535
Leek,41906879,42334369,35678168,3166696,4729174,4083307,23591455,4093860,6325694,11325184,31009185,3475845,32202323,17531,1414,575,15186,13422,593,11124,1136,7116,1046,477,129,481
